402.933	401.828	420.134	470.009	552.795	570.973	580.641	546.304	623.94	722.462	690.074	576.282	464.192	446.494	425.077	306.196	210.668	146.998	63.503	10.446	1.271
407.014	402.029	416.38	456.813	551.618	576.472	593.649	547.163	602.649	712.467	702.382	599.792	475.128	441.928	433.08	322.041	215.458	146.572	65.295	9.429	1.298
576.032	617.923	612.167	609.217	620.3	687.409	760.045	818.13	782.462	719.615	689.957	527.831	526.727	518.783	462.543	386.81	180.775	127.877	47.216	9.388	0.826
566.153	617.057	616.34	616.175	622.428	676.233	747.627	814.099	793.24	726.431	703.276	547.623	517.234	514.801	461.344	394.535	198.264	121.984	52.827	10.471	0.877
564.24	613.115	620.9	620.924	628.131	667.244	735.895	805.965	803.989	737.257	707.038	579.243	506.339	510.739	462.959	394.772	224.315	112.141	56.498	12.255	0.926
568.511	606.326	626.112	623.425	635.844	661.784	724.763	795.167	813.592	750.998	705.311	616.606	497.84	506.498	466.074	391.664	252.699	103.525	57.768	13.549	0.976
575.721	598.636	630.537	624.946	643.527	660.593	714.493	783.838	820.397	765.56	704.946	650.197	497.576	501.828	468.863	390.182	275.971	101.706	56.166	13.405	1.029
583.493	593.148	632.157	626.919	649.588	663.176	705.877	773.176	823.305	779.438	710.061	674.179	508.701	496.716	470.386	392.469	291.167	108.598	52.118	11.127	1.087
593.975	590.306	631.455	634.165	656.068	669.195	702.389	762.703	819.675	790.979	717.496	686.124	526.263	487.842	469.141	394.298	297.571	123.963	52.115	12.697	1.147
605.096	590.023	627.422	642.446	660.306	677.862	701.584	754.132	812.58	802.115	729.194	689.559	555.348	476.652	467.587	398.718	299.35	142.344	49.194	15.112	1.211
615.87	592.538	621.338	650.095	662.77	687.975	703.192	747.713	803.461	811.423	743.635	688.318	590.148	466.78	465.146	404.524	300.017	159.717	46.575	16.66	1.278
625.324	597.202	615.366	654.659	664.891	697.514	706.995	743.435	794.326	817.282	758.278	688.668	621.36	464.081	461.163	409.971	302.794	173.964	45.404	16.266	1.347
632.775	602.755	611.229	654.932	667.59	704.852	712.794	741.189	786.484	819.067	771.35	694.223	643.375	471.991	455.496	413.98	308.619	183.259	47.885	13.475	1.419
643.367	610.044	609.583	655.434	673.788	706.653	716.682	738.572	780.243	818.561	783.303	701.85	654.948	489.648	445.386	410.824	311.27	189.9	58.225	13.303	1.499
